,Offers
2016012203,160.0
2016012204,52.0
2016012205,140.0
2016012206,140.0
2016012207,95.82
2016012208,52.0
2016012209,54.35
2016012210,57.74
2016012211,140.0
2016012212,54.35
2016012213,160.0
2016012214,160.0
2016012215,160.0
2016012216,160.0
2016012217,185.0
2016012218,185.0
2016012219,185.0
2016012220,185.0
2016012221,160.0
2016012222,160.0
2016012223,160.0
2016012224,160.0
2016012225,140.0
2016012226,130.0
2016012227,119.95
2016012228,58.45
2016012229,58.45
2016012230,58.45
2016012231,58.45
2016012232,58.45
2016012233,58.45
2016012234,160.0
2016012235,170.0
2016012236,170.0
2016012237,64.24
2016012238,56.9
2016012239,140.0
2016012240,140.0
2016012241,95.0
2016012242,170.0
2016012243,170.0
2016012244,139.0
2016012245,170.0
2016012246,170.0
2016012247,140.0
2016012248,75.0
2016012301,75.0
2016012302,75.0
2016012303,75.0
2016012304,75.0
2016012305,75.0
2016012306,75.0
2016012307,75.0
2016012308,75.0
2016012309,160.0
2016012310,160.0
2016012311,140.0
2016012312,140.0
2016012313,160.0
2016012314,160.0
2016012315,75.0
2016012316,75.0
2016012317,99.0
2016012318,139.0
2016012319,99.0
2016012320,99.0
2016012321,69.0
2016012322,69.0
2016012323,140.0
2016012324,99.0
2016012325,139.0
2016012326,119.0
2016012327,119.0
2016012328,51.99
2016012329,68.0
2016012330,68.0
2016012331,94.42
2016012332,94.42
2016012333,94.42
2016012334,94.42
2016012335,160.0
2016012336,94.42
2016012337,160.0
2016012338,125.0
2016012339,125.0
2016012340,125.0
2016012341,65.0
2016012342,65.0
2016012343,55.0
2016012344,50.0
2016012345,140.0
2016012346,50.0
2016012347,140.0
2016012348,120.0
2016012401,80.0
2016012402,160.0
2016012403,160.0
2016012404,80.0
2016012405,80.0
2016012406,80.0
2016012407,80.0
2016012408,80.0
2016012409,80.0
2016012410,94.98
2016012411,94.42
2016012412,85.0
2016012413,80.0
2016012414,140.0
2016012415,160.0
2016012416,160.0
2016012417,80.0
2016012418,80.0
2016012419,140.0
2016012420,59.24
2016012421,140.0
2016012422,140.0
2016012423,140.0
2016012424,140.0
2016012425,140.0
2016012426,90.0
2016012427,155.0
2016012428,65.0
2016012429,65.0
2016012430,69.5
2016012431,69.5
2016012432,140.0
2016012433,69.5
2016012434,140.0
2016012435,69.5
2016012436,139.0
2016012437,160.0
2016012438,140.0
2016012439,140.0
2016012440,69.5
2016012441,140.0
2016012442,139.0
2016012443,160.0
2016012444,140.0
2016012445,140.0
2016012446,140.0
2016012447,140.0
2016012448,52.0
2016012501,69.5
2016012502,69.5
2016012503,69.5
2016012504,79.0
2016012505,140.0
2016012506,89.0
2016012507,89.0
2016012508,99.0
2016012509,94.0
2016012510,89.0
2016012511,140.0
2016012512,140.0
2016012513,140.0
2016012514,89.0
2016012515,140.0
2016012516,64.45
2016012517,64.45
2016012518,64.45
2016012519,64.45
2016012520,64.45
2016012521,139.0
2016012522,52.0
2016012523,139.0
2016012524,52.0
2016012525,52.0
2016012526,52.0
2016012527,52.0
2016012528,52.0
2016012529,52.0
2016012530,52.0
2016012531,70.0
2016012532,70.0
2016012533,70.0
2016012534,140.0
2016012535,160.0
2016012536,115.0
2016012537,160.0
2016012538,160.0
2016012539,100.0
2016012540,160.0
2016012541,140.0
2016012542,160.0
2016012543,160.0
2016012544,140.0
2016012545,160.0
2016012546,44.0
2016012547,150.0
2016012548,160.0
2016012601,80.0
2016012602,80.0
2016012603,80.0
2016012604,140.0
2016012605,140.0
2016012606,80.0
2016012607,80.0
2016012608,80.0
2016012609,80.0
2016012610,80.0
2016012611,140.0
2016012612,140.0
2016012613,160.0
2016012614,80.0
2016012615,80.0
2016012616,160.0
2016012617,139.0
2016012618,160.0
2016012619,160.0
2016012620,160.0
2016012621,140.0
2016012622,59.9
2016012623,170.0
2016012624,160.0
2016012625,160.0
2016012626,139.0
2016012627,139.0
2016012628,139.0
2016012629,64.5
2016012630,64.5
2016012631,64.5
2016012632,64.5
2016012633,86.49
2016012634,119.0
2016012635,119.0
2016012636,155.0
2016012637,170.0
2016012638,155.0
2016012639,139.0
2016012640,139.0
2016012641,140.0
2016012642,139.0
2016012643,140.0
2016012644,160.0
2016012645,160.0
2016012646,160.0
2016012647,140.0
2016012648,120.0
2016012701,58.99
2016012702,57.99
2016012703,90.0
2016012704,90.0
2016012705,90.0
2016012706,140.0
2016012707,90.0
2016012708,57.99
2016012709,57.99
2016012710,57.99
2016012711,140.0
2016012712,160.0
2016012713,160.0
2016012714,140.0
2016012715,140.0
2016012716,140.0
2016012717,50.0
2016012718,125.0
2016012719,51.55
2016012720,85.0
2016012721,85.0
2016012722,85.0
2016012723,50.0
2016012724,50.0
2016012725,51.55
2016012726,54.95
2016012727,57.99
2016012728,48.0
2016012729,53.35
2016012730,200.0
2016012731,90.0
2016012732,150.0
2016012733,150.0
2016012734,325.0
2016012735,325.0
2016012736,170.0
2016012737,150.0
2016012738,160.0
2016012739,160.0
2016012740,150.0
2016012741,150.0
2016012742,150.0
2016012743,140.0
2016012744,140.0
2016012745,139.0
2016012746,140.0
2016012747,140.0
2016012748,120.0
2016012801,80.0
2016012802,80.0
2016012803,80.0
2016012804,140.0
2016012805,140.0
2016012806,140.0
2016012807,80.0
2016012808,80.0
2016012809,140.0
2016012810,80.0
2016012811,140.0
2016012812,140.0
2016012813,160.0
2016012814,160.0
2016012815,155.0
2016012816,139.0
2016012817,94.3
2016012818,94.3
2016012819,89.89
2016012820,94.3
2016012821,63.0
2016012822,63.0
2016012823,63.0
2016012824,59.2
2016012825,59.2
2016012826,59.2
2016012827,139.0
2016012828,140.0
2016012829,140.0
2016012830,79.5
2016012831,140.0
2016012832,84.0
2016012833,139.0
2016012834,170.0
2016012835,170.0
2016012836,150.0
2016012837,160.0
2016012838,140.0
2016012839,170.0
2016012840,120.0
2016012841,120.0
2016012842,140.0
2016012843,160.0
2016012844,69.95
2016012845,69.95
2016012846,57.0
2016012847,57.0
2016012848,52.0
2016012901,52.0
