,Bids
2016011907,26.9
2016011908,26.5
2016011909,26.5
2016011910,24.8
2016011911,0.0
2016011912,0.0
2016011913,26.5
2016011914,26.1
2016011915,26.1
2016011916,40.0
2016011917,
2016011918,25.3
2016011919,25.3
2016011920,0.0
2016011921,0.0
2016011922,27.2
2016011923,27.2
2016011924,28.05
2016011925,28.55
2016011926,26.26
2016011927,28.55
2016011928,28.4
2016011929,28.55
2016011930,28.05
2016011931,28.05
2016011932,0.01
2016011933,26.5
2016011934,26.01
2016011935,28.05
2016011936,28.3
2016011937,28.45
2016011938,0.0
2016011939,0.0
2016011940,24.12
2016011941,24.12
2016011942,28.2
2016011943,28.05
2016011944,26.0
2016011945,0.15
2016011946,25.6
2016011947,25.01
2016011948,26.91
2016012001,26.9
2016012002,26.9
2016012003,20.0
2016012004,20.0
2016012005,28.0
2016012006,28.0
2016012007,27.0
2016012008,25.0
2016012009,27.0
2016012010,25.0
2016012011,26.02
2016012012,27.05
2016012013,27.35
2016012014,24.0
2016012015,0.0
2016012016,0.0
2016012017,26.05
2016012018,0.0
2016012019,25.0
2016012020,0.0
2016012021,27.1
2016012022,27.1
2016012023,0.0
2016012024,0.0
2016012025,28.8
2016012026,28.55
2016012027,28.55
2016012028,28.55
2016012029,27.35
2016012030,25.0
2016012031,20.0
2016012032,0.0
2016012033,0.0
2016012034,0.0
2016012035,0.0
2016012036,26.01
2016012037,26.01
2016012038,22.76
2016012039,0.0
2016012040,26.3
2016012041,20.0
2016012042,25.0
2016012043,28.05
2016012044,28.5
2016012045,28.2
2016012046,26.4
2016012047,26.4
2016012048,0.0
2016012101,10.0
2016012102,25.0
2016012103,0.0
2016012104,0.0
2016012105,0.3
2016012106,25.8
2016012107,21.0
2016012108,27.0
2016012109,0.6
2016012110,-115.0
2016012111,-115.0
2016012112,-150.0
2016012113,-150.0
2016012114,-115.0
2016012115,-115.0
2016012116,-115.0
2016012117,-115.0
2016012118,-115.0
2016012119,-115.0
2016012120,-115.0
2016012121,-85.0
2016012122,-85.0
2016012123,-85.0
2016012124,25.7
2016012125,25.7
2016012126,27.01
2016012127,27.01
2016012128,26.0
2016012129,27.25
2016012130,22.5
2016012131,27.0
2016012132,26.51
2016012133,0.0
2016012134,0.0
2016012135,26.51
2016012136,0.0
2016012137,-85.0
2016012138,-85.0
