,index,DA_margin,DA_imb
969,2016012110,23823,328
970,2016012111,22751,416
971,2016012112,22241,451
972,2016012113,18543,533
973,2016012114,15363,712
974,2016012115,12797,1780
975,2016012116,10262,749
976,2016012117,8866,904
977,2016012118,8862,1126
978,2016012119,8577,510
979,2016012120,8015,625
980,2016012121,8135,582
981,2016012122,8082,359
982,2016012123,8388,356
983,2016012124,8564,328
984,2016012125,8847,420
985,2016012126,8862,539
986,2016012127,8468,859
987,2016012128,9171,1491
988,2016012129,9065,1292
989,2016012130,8916,1465
990,2016012131,9231,1367
991,2016012132,8505,1605
992,2016012133,8529,2210
993,2016012134,6672,1139
994,2016012135,5784,289
995,2016012136,6097,526
996,2016012137,6815,556
997,2016012138,7496,998
998,2016012139,8945,126
999,2016012140,10712,-626
1000,2016012141,13422,-20
1001,2016012142,15361,-455
1002,2016012143,17047,259
1003,2016012144,19436,389
1004,2016012145,21758,-223
1005,2016012146,23929,-632
1006,2016012147,28039,-202
1007,2016012148,29122,-170
1008,201601221,29814,706
1009,201601222,29381,322
1010,201601223,29264,79
1011,201601224,30094,486
1012,201601225,30007,281
1013,201601226,30048,278
1014,201601227,29603,20
1015,201601228,30099,267
1016,201601229,29543,-292
1017,2016012210,29674,45
1018,2016012211,28475,238
1019,2016012212,28300,553
1020,2016012213,25763,355
1021,2016012214,22717,877
1022,2016012215,16928,691
1023,2016012216,14201,534
1024,2016012217,14231,1104
1025,2016012218,14183,948
1026,2016012219,14445,1303
1027,2016012220,14122,1320
1028,2016012221,14647,1729
1029,2016012222,14820,1812
1030,2016012223,15033,1622
1031,2016012224,15645,2058
1032,2016012225,15962,2216
1033,2016012226,13587,488
1034,2016012227,13714,472
1035,2016012228,13709,71
1036,2016012229,14461,382
1037,2016012230,14866,682
1038,2016012231,15616,1373
1039,2016012232,14614,949
1040,2016012233,13853,1386
1041,2016012234,11846,-104
1042,2016012235,13327,1578
1043,2016012236,13912,2020
1044,2016012237,14893,1870
1045,2016012238,15017,1635
1046,2016012239,16134,1196
1047,2016012240,15516,-1073
1048,2016012241,17468,574
1049,2016012242,19252,936
1050,2016012243,19867,1277
1051,2016012244,21664,1743
1052,2016012245,23560,1610
1053,2016012246,25486,1329
1054,2016012247,26927,1067
1055,2016012248,27468,1405
1056,201601231,26849,1320
1057,201601232,26629,1168
1058,201601233,26162,988
1059,201601234,26491,590
1060,201601235,26985,579
1061,201601236,26901,443
1062,201601237,27792,477
1063,201601238,28553,792
1064,201601239,29039,1191
1065,2016012310,28973,1355
1066,2016012311,29039,1736
1067,2016012312,29557,1154
1068,2016012313,28618,716
1069,2016012314,28184,611
1070,2016012315,27175,1478
