,index,time_peak,peak(MW),total_cap(MW)
587,20170810,0000,4096,9910
588,20170811,1800,5743,9910
589,20170812,0000,5043,9910
590,20170813,0000,2202,9910
591,20170814,1000,4475,9910
592,20170815,1500,3284,9910
593,20170816,1900,7025,9910
594,20170817,0000,5649,9910
595,20170818,2300,6633,9910
596,20170819,1300,8132,9910
597,20170820,0000,6386,9910
598,20170821,1100,1445,9910
599,20170822,2300,4706,9910
600,20170823,0300,5407,9910
601,20170824,1400,2813,9910
602,20170825,0000,2411,9910
603,20170826,1600,1365,9910
604,20170827,2300,2930,9910
605,20170828,1100,4972,9910
606,20170829,1500,3400,9910
607,20170830,0400,3346,9910
608,20170831,0300,1361,9910
609,20170901,0700,1028,9910
610,20170902,2300,3269,9910
611,20170903,1200,6055,9910
612,20170904,0000,4682,9910
613,20170905,2300,4646,9910
614,20170906,0400,6013,9910
615,20170907,2300,6755,9910
616,20170908,0000,6740,9910
617,20170909,0400,3747,9910
618,20170910,1500,8147,9910
619,20170911,1600,8896,9910
620,20170912,0000,8357,9910
621,20170913,1200,5847,9910
622,20170914,1300,7896,9910
623,20170915,0000,5973,9910
624,20170916,0000,4247,9910
625,20170917,1900,1418,9910
626,20170918,1600,2198,9910
627,20170919,2300,1835,9910
628,20170920,2200,4486,9910
629,20170921,0800,4438,9910
630,20170922,1300,5415,9910
631,20170923,2200,6311,9910
632,20170924,0000,6094,9910
633,20170925,0000,2544,9910
634,20170926,2200,4009,9910
635,20170927,2100,7431,9910
636,20170928,0000,6362,9910
637,20170929,0600,6441,9910
638,20170930,0100,4986,9910
639,20171001,2100,8992,9910
640,20171002,1400,9048,9910
641,20171003,0400,9143,9910
642,20171004,1200,8625,9910
643,20171005,1200,8748,9910
644,20171006,0100,7506,9910
645,20171007,0700,8598,9910
646,20171008,0000,4630,9910
647,20171009,2300,4743,9910
648,20171010,2300,8449,9910
649,20171011,0400,8978,9910
650,20171012,0200,8296,9910
651,20171013,1200,8519,9910
652,20171014,0000,6958,9910
653,20171015,1000,7626,9910
654,20171016,1400,8271,9910
655,20171017,1000,8273,9910
656,20171018,2000,4007,9910
657,20171019,1800,5542,9910
658,20171020,2300,7121,9910
659,20171021,0400,8564,9910
660,20171022,1600,7963,9910
661,20171023,0900,5256,9910
662,20171024,1300,8325,9910
663,20171025,0600,7936,9910
664,20171026,0000,4257,9910
665,20171027,2300,6510,9910
666,20171028,2300,9582,9910
667,20171029,0000,9422,9910
668,20171030,2300,3613,9910
669,20171031,2100,6368,9910
670,20171101,0000,6032,9910
671,20171102,0000,3452,9910
672,20171103,2300,2972,9910
673,20171104,2100,5776,9910
674,20171105,0900,6854,9910
675,20171106,2300,7501,9910
676,20171107,0200,7712,9910
677,20171108,2300,6360,9910
678,20171109,2300,6664,9910
679,20171110,0800,9094,9910
680,20171111,0000,5215,9910
681,20171112,1200,8557,9910
682,20171113,2300,6136,9910
683,20171114,0100,6326,9910
684,20171115,2300,4457,9910
685,20171116,1000,7440,9910
686,20171117,2300,7954,9910
687,20171118,0200,8322,9910
688,20171119,0000,5665,9910
689,20171120,1000,6620,9910
690,20171121,2100,8583,9910
691,20171122,0000,8481,9910
692,20171123,1500,8350,9910
693,20171124,2300,4378,9910
694,20171125,2300,8942,9910
695,20171126,0100,9030,9910
696,20171127,0300,9332,9910
697,20171128,0200,8205,9910
698,20171129,2300,7860,9910
699,20171130,1600,8638,9910
700,20171201,0000,7935,9910
701,20171202,2300,4435,9910
702,20171203,0300,5090,9910
703,20171204,2000,3883,9910
704,20171205,2300,7785,9910
705,20171206,2000,9911,9910
706,20171207,0500,9910,9910
707,20171208,0600,9769,9910
708,20171209,0000,8498,9910
709,20171210,1000,5339,9910
710,20171211,2100,4610,9910
711,20171212,2300,7875,9910
712,20171213,1200,8531,9910
713,20171214,0300,7957,9910
714,20171215,1800,6723,9910
715,20171216,0000,6634,9910
716,20171217,1500,8404,9910
717,20171218,0000,5426,9910
718,20171219,2000,4883,9910
719,20171220,0000,4932,9910
720,20171221,2000,1911,9910
721,20171222,2300,5032,9910
722,20171223,1900,8952,9910
723,20171224,0800,9375,9910
724,20171225,0000,9069,9910
725,20171226,0600,7404,9910
726,20171227,2300,8337,9910
727,20171228,0000,8382,9910
728,20171229,0900,8037,9910
729,20171230,1500,9609,9910
730,20171231,1200,9740,9910
731,20180101,0100,8376,9910
732,20180102,1500,8394,9910
733,20180103,1400,8536,9910
734,20180104,0000,7214,9910
735,20180105,2200,4834,9910
736,20180106,1400,6714,9910
737,20180107,2300,6132,9910
738,20180108,1600,8768,9910
739,20180109,0000,6638,9910
740,20180110,0000,5037,9910
741,20180111,2300,1112,9910
742,20180112,2300,6170,9910
743,20180113,1400,7376,9910
744,20180114,2300,9000,9910
745,20180115,2300,9553,9910
746,20180116,1200,10124,9910
747,20180117,1000,10201,9910
748,20180118,2300,7664,11836
749,20180119,1800,8151,11836
750,20180120,0000,6842,11836
751,20180121,2100,8405,11836
