,PrevDay,PrevWeek
2016012345,170.0,47.3
2016012346,170.0,47.3
2016012347,140.0,120.0
2016012348,75.0,120.0
2016012401,75.0,120.0
2016012402,75.0,55.74
2016012403,75.0,55.74
2016012404,75.0,55.74
2016012405,75.0,160.0
2016012406,75.0,43.99
2016012407,75.0,43.99
2016012408,75.0,43.5
2016012409,160.0,52.0
2016012410,160.0,43.5
2016012411,140.0,43.5
2016012412,140.0,51.0
2016012413,160.0,140.0
2016012414,160.0,42.75
2016012415,75.0,160.0
2016012416,75.0,43.25
2016012417,99.0,52.0
2016012418,139.0,142.0
2016012419,99.0,140.0
2016012420,99.0,140.0
2016012421,69.0,140.0
2016012422,69.0,140.0
2016012423,140.0,140.0
2016012424,99.0,160.0
2016012425,139.0,170.0
2016012426,119.0,160.0
2016012427,119.0,140.0
2016012428,51.99,139.0
2016012429,68.0,170.0
2016012430,68.0,170.0
2016012431,94.42,90.0
2016012432,94.42,62.5
2016012433,94.42,130.0
2016012434,94.42,90.0
2016012435,160.0,90.0
2016012436,94.42,62.5
2016012437,160.0,62.5
2016012438,125.0,62.5
2016012439,125.0,140.0
2016012440,125.0,140.0
2016012441,65.0,160.0
2016012442,65.0,47.0
2016012443,55.0,131.0
2016012444,50.0,47.0
2016012445,140.0,47.0
2016012446,50.0,47.0
2016012447,140.0,45.0
2016012448,120.0,42.95
